display  D   display_settings.c:486  _al_score_display_settings       [   0.08446] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08447] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08448] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08450] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08451] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08452] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08454] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08455] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08456] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08457] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08460] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08462] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08463] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08464] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08466] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08467] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08468] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08470] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08471] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08472] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08473] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08475] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08476] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08477] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08479] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08480] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08481] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08482] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08484] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08485] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.08487] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08488] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08489] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08491] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08492] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08493] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08495] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08496] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08497] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08498] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08500] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08501] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08502] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08504] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08505] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08506] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08508] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08509] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08510] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08512] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08513] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08514] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08516] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08517] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08518] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08520] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08521] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08522] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08524] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08525] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08526] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08527] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08529] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08530] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08532] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08533] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08534] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08536] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08537] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08538] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08540] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08541] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08542] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08544] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08545] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08546] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08547] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08549] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08550] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08551] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08553] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08554] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08555] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08557] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08558] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08561] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08564] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08566] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08567] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08569] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08570] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08571] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08573] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.08574] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08575] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08576] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08578] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08579] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08580] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08583] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08585] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08586] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08587] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08588] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08590] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08591] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08592] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08594] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08595] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08596] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08597] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08599] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08600] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08601] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08602] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08604] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08605] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08606] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08608] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08609] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08610] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08611] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08613] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08614] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08615] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08617] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08618] Score is : 598
